n_e,T_e,B,xi,alpha,t,ripple_initial,ripple_dynamic,yield,E_total,fom,eta
1e+20,20.0,5.0,1.0,0.0,0.01,9.989232136572579e-06,9.989232136572579e-06,3e+21,10000.0,3000000000.0,True
1e+20,20.0,5.0,1.0,0.0,0.1,9.743147574629782e-06,9.743147574629782e-06,3e+21,100000.0,300000000.0,True
1e+20,20.0,5.0,1.0,0.0,1.0,9.68180778587069e-06,9.68180778587069e-06,3e+21,1000000.0,30000000.0,True
1e+20,20.0,5.0,1.0,0.01,0.01,9.943491616521973e-06,9.942497267361578e-06,3e+21,10000.0,3000000000.0,True
1e+20,20.0,5.0,1.0,0.01,0.1,9.967165223458568e-06,9.95719805823683e-06,3e+21,100000.0,300000000.0,True
1e+20,20.0,5.0,1.0,0.01,1.0,9.61624691488407e-06,9.520084445742774e-06,3e+21,1000000.0,30000000.0,True
1e+20,20.0,5.0,2.0,0.0,0.01,9.394944615352483e-06,9.394944615352483e-06,3e+21,10000.0,3000000000.0,True
1e+20,20.0,5.0,2.0,0.0,0.1,9.8216217277081e-06,9.8216217277081e-06,3e+21,100000.0,300000000.0,True
1e+20,20.0,5.0,2.0,0.0,1.0,9.539038002710174e-06,9.539038002710174e-06,3e+21,1000000.0,30000000.0,True
1e+20,20.0,5.0,2.0,0.01,0.01,1.0024483320174951e-05,1.0023480871835644e-05,3e+21,10000.0,3000000000.0,True
1e+20,20.0,5.0,2.0,0.01,0.1,1.0055315691535418e-05,1.004526037583991e-05,3e+21,100000.0,300000000.0,True
1e+20,20.0,5.0,2.0,0.01,1.0,1.0048847024658354e-05,9.94835855441278e-06,3e+21,1000000.0,30000000.0,True
1e+20,20.0,5.0,4.0,0.0,0.01,9.922775226506786e-06,9.922775226506786e-06,3e+21,10000.0,3000000000.0,True
1e+20,20.0,5.0,4.0,0.0,0.1,9.783878713276836e-06,9.783878713276836e-06,3e+21,100000.0,300000000.0,True
1e+20,20.0,5.0,4.0,0.0,1.0,1.01028429058033e-05,1.01028429058033e-05,3e+21,1000000.0,30000000.0,True
1e+20,20.0,5.0,4.0,0.01,0.01,1.0164590700454767e-05,1.0163574241384001e-05,3e+21,10000.0,3000000000.0,True
1e+20,20.0,5.0,4.0,0.01,0.1,9.887762623976814e-06,9.877874861357094e-06,3e+21,100000.0,300000000.0,True
1e+20,20.0,5.0,4.0,0.01,1.0,1.0636138938029187e-05,1.052977754864843e-05,3e+21,1000000.0,30000000.0,True
1e+21,5.0,5.0,1.0,0.0,0.01,8.91552918948964e-06,8.91552918948964e-06,3e+23,10000.0,300000000000.0,True
1e+21,5.0,5.0,1.0,0.0,0.1,1.0120033853620592e-05,1.0120033853620592e-05,3e+23,100000.0,30000000000.0,True
1e+21,5.0,5.0,1.0,0.0,1.0,1.0223120754856552e-05,1.0223120754856552e-05,3e+23,1000000.0,3000000000.0,True
1e+21,5.0,5.0,1.0,0.01,0.01,1.0210846038509313e-05,1.0209824953903215e-05,3e+23,10000.0,300000000000.0,True
1e+21,5.0,5.0,1.0,0.01,0.1,1.0077060708727372e-05,1.0066983648017724e-05,3e+23,100000.0,30000000000.0,True
1e+21,5.0,5.0,1.0,0.01,1.0,9.456677762882573e-06,9.36211098525782e-06,3e+23,1000000.0,3000000000.0,True
1e+21,5.0,5.0,2.0,0.0,0.01,9.70186591315243e-06,9.70186591315243e-06,3e+23,10000.0,300000000000.0,True
1e+21,5.0,5.0,2.0,0.0,0.1,1.0926317898213032e-05,1.0926317898213032e-05,3e+23,100000.0,30000000000.0,True
1e+21,5.0,5.0,2.0,0.0,1.0,1.0241060332061579e-05,1.0241060332061579e-05,3e+23,1000000.0,3000000000.0,True
1e+21,5.0,5.0,2.0,0.01,0.01,1.0408235391208393e-05,1.0407194567670966e-05,3e+23,10000.0,300000000000.0,True
1e+21,5.0,5.0,2.0,0.01,0.1,1.026557649389248e-05,1.0255310917394238e-05,3e+23,100000.0,30000000000.0,True
1e+21,5.0,5.0,2.0,0.01,1.0,9.71429804220277e-06,9.617155061780922e-06,3e+23,1000000.0,3000000000.0,True
1e+21,5.0,5.0,4.0,0.0,0.01,1.024528750391589e-05,1.024528750391589e-05,3e+23,10000.0,300000000000.0,True
1e+21,5.0,5.0,4.0,0.0,0.1,9.80488900371814e-06,9.80488900371814e-06,3e+23,100000.0,30000000000.0,True
1e+21,5.0,5.0,4.0,0.0,1.0,9.900728329901559e-06,9.900728329901559e-06,3e+23,1000000.0,3000000000.0,True
1e+21,5.0,5.0,4.0,0.01,0.01,1.0734359222288201e-05,1.0733285786366491e-05,3e+23,10000.0,300000000000.0,True
1e+21,5.0,5.0,4.0,0.01,0.1,9.536447127453685e-06,9.52691068032162e-06,3e+23,100000.0,30000000000.0,True
1e+21,5.0,5.0,4.0,0.01,1.0,1.096168358147203e-05,1.0852066745660907e-05,3e+23,1000000.0,3000000000.0,True
1e+21,10.0,5.0,1.0,0.0,0.01,1.0103985676716776e-05,1.0103985676716776e-05,3e+23,10000.0,300000000000.0,True
1e+21,10.0,5.0,1.0,0.0,0.1,1.0220273755618933e-05,1.0220273755618933e-05,3e+23,100000.0,30000000000.0,True
1e+21,10.0,5.0,1.0,0.0,1.0,9.538618913816067e-06,9.538618913816067e-06,3e+23,1000000.0,3000000000.0,True
1e+21,10.0,5.0,1.0,0.01,0.01,1.101055569139117e-05,1.1009454635822903e-05,3e+23,10000.0,300000000000.0,True
1e+21,10.0,5.0,1.0,0.01,0.1,9.984565454095027e-06,9.974580888635121e-06,3e+23,100000.0,30000000000.0,True
1e+21,10.0,5.0,1.0,0.01,1.0,1.0088912481640261e-05,9.988023356824673e-06,3e+23,1000000.0,3000000000.0,True
1e+21,10.0,5.0,2.0,0.0,0.01,1.0952146201499294e-05,1.0952146201499294e-05,3e+23,10000.0,300000000000.0,True
1e+21,10.0,5.0,2.0,0.0,0.1,9.423449435001301e-06,9.423449435001301e-06,3e+23,100000.0,30000000000.0,True
1e+21,10.0,5.0,2.0,0.0,1.0,9.913820087834846e-06,9.913820087834846e-06,3e+23,1000000.0,3000000000.0,True
1e+21,10.0,5.0,2.0,0.01,0.01,1.0268675541149962e-05,1.0267648673593976e-05,3e+23,10000.0,300000000000.0,True
